Age	upper_confidence	lower_confidence	Source
1847	1912	1782	Source_6
1823	1838	1808	Source_6
1794.5	1796.1	1792.9	Source_6
1787	1801	1773	Source_6
1916	1973	1859	Source_6
1810	1819	1801	Source_6
1518	1543	1493	Source_6
1545	1565	1525	Source_6
91	93	89	unknown
172	175	169	unknown
177	180	174	unknown
178	181	175	unknown
187	192	182	unknown
189	193	185	unknown
197	200	194	unknown
207	218	196	unknown
208	211	205	unknown
211	214	208	unknown
215	218	212	unknown
215	218	212	unknown
215	218	212	unknown
225	227	223	unknown
228	232	224	unknown
233	236	230	unknown
246	248	244	unknown
247	252	242	unknown
248	253	243	unknown
250	256	244	unknown
252	263	241	unknown
256	264	248	unknown
264	269	259	unknown
264	277	251	unknown
272	279	265	unknown
274	277	271	unknown
277	280	274	unknown
278	288	268	unknown
279	283	275	unknown
281	285	277	unknown
284	291	277	unknown
380	388	372	unknown
388	392	384	unknown
409	413	405	unknown
418	422	414	unknown
420	423	417	unknown
430	438	422	unknown
440	445	435	unknown
445	449	441	unknown
445	454	436	unknown
446	453	439	unknown
448	453	443	unknown
456	463	449	unknown
458	465	451	unknown
459	465	453	unknown
461	466	456	unknown
462	466	458	unknown
463	471	455	unknown
464	468	460	unknown
465	469	461	unknown
465	469	461	unknown
465	471	459	unknown
465	470	460	unknown
468	476	460	unknown
474	479	469	unknown
477	484	470	unknown
482	487	477	unknown
488	493	483	unknown
502	506	498	unknown
512	516	508	unknown
515	522	508	unknown
537	546	528	unknown
619	631	607	unknown
629	636	622	unknown
756	765	747	unknown
784	796	772	unknown
825	836	814	unknown
873	886	860	unknown
890	908	872	unknown
895	902	888	unknown
916	923	909	unknown
928	938	918	unknown
931	940	922	unknown
950	969	931	unknown
974	992	956	unknown
975	989	961	unknown
977	991	963	unknown
979	990	968	unknown
979	993	965	unknown
982	1003	961	unknown
990	1009	971	unknown
993	1000	986	unknown
996	1075	917	unknown
1005	1032	978	unknown
1010	1062	958	unknown
1013	1055	971	unknown
1018	1043	993	unknown
1035	1113	957	unknown
1042	1104	980	unknown
1052	1094	1010	unknown
1068	1153	983	unknown
1079	1131	1027	unknown
1096	1180	1012	unknown
1150	1261	1039	unknown
1166	1224	1108	unknown
1166	1208	1124	unknown
1169	1208	1130	unknown
1171	1218	1124	unknown
1172	1227	1117	unknown
1172	1225	1119	unknown
1184	1243	1125	unknown
1185	1257	1113	unknown
1212	1298	1126	unknown
1213	1263	1163	unknown
1225	1346	1104	unknown
1272	1353	1191	unknown
1285	1344	1226	unknown
1300	1376	1224	unknown
1306	1365	1247	unknown
1321	1374	1268	unknown
1325	1377	1273	unknown
1344	1410	1278	unknown
1350	1401	1299	unknown
1428	1471	1385	unknown
1445	1513	1377	unknown
1456	1498	1414	unknown
1482	1524	1440	unknown
1493	1609	1377	unknown
1504	1556	1452	unknown
1558	1604	1512	unknown
1576	1673	1479	unknown
1594	1635	1553	unknown
1602	1726	1478	unknown
1657	1709	1605	unknown
1702	1751	1653	unknown
1754	1805	1703	unknown
1793	1862	1724	unknown
1798	1865	1731	unknown
1801	1869	1733	unknown
1806	1851	1761	unknown
1811	1926	1696	unknown
1815	1870	1760	unknown
1856	1923	1789	unknown
1858	1895	1821	unknown
1921	1977	1865	unknown
1937	1975	1899	unknown
1993	2045	1941	unknown
1998	2035	1961	unknown
2561	2598	2524	unknown
2832	2865	2799	unknown
